"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","LMA_imputed","SWC_imputed","ApoFrac","SWA","LWAtlp","water_loss.m2","CFT.g.m2","water_loss.g","n_vals","nDatasets","Dataset","T.S.L.H","Family","Genus","Species_name","Gymno.Angio"
"211","Mansoa hymenaea","TropicalDry","W","DD",2.25666666666667,91.5533333333333,-2.06666666666667,55.82069346,1.93333333333333,0,0,NA,93.1640510743333,84.8302652406688,8.33378583366452,3.60121346278922,-177.854833333333,3,1,"Contributed","L","Bignoniaceae","Mansoa","hymenaea","Angiosperm"
"212","Maripa panamensis","TropicalDry","W","E",1.52933333333333,74.3213166666667,-1.1455,73.2396672497221,2.16003333333333,1,0,NA,158.200122581641,116.1513929446,42.0487296370416,27.9525820233465,-156.430792248333,6,1,"Contributed","L","Convolvulaceae","Maripa","panamensis","Angiosperm"
"213","Marsilea quadrifolia","Temperate","F","E",1.855211,92.446177,-1.564098,41.438786,2.108919,0,0,0.509427,87.391043132334,80.7896784162638,6.60136471607017,3.55828243583623,-192.852580152663,1,1,"Contributed",NA,"Marsileaceae","Marsilea","quadrifolia","Angiosperm"
"214","Mertensia lanceolata","Grassland","H","A",1.48,81.302,-1.122,77.3133015,4.09,0,0,NA,316.211403135,257.086194976818,59.1252081581823,39.9494649717448,-328.43518,1,1,"Contributed","H","Boraginaceae","Mertensia","lanceolata","Angiosperm"
"215","Mezzettiopsis creaghii","TropicalDry","W","E",1.7796138665,89.231,-1.283583751,47.951236505,2.441684259,0,0,0.41793958,116.720795346353,115.144682412634,13.8964382882817,7.62783481728995,-243.246450047601,2,1,"Contributed","T","Annonaceae","Mezzettiopsis","creaghii","Angiosperm"
"216","Miconia albicans","TropicalDry","W","E",2.65333333333333,88.68,-1.97,178.385086709436,2.10379429541231,1,1,NA,375.285527805942,333.251808063415,42.0337197425266,16.2073477927,-184.460683821751,3,2,"mb12",NA,"Melastomataceae","Miconia","albicans","Angiosperm"
"217","Microcos chungii","TropicalDry","W","E",1.865364444,NA,-1.146587863,47.20777429,2.177499294,0,1,NA,97.9388925975244,NA,NA,NA,NA,2,1,"Contributed","T","Malvaceae","Microcos","chungii","Angiosperm"
"218","Mikania glaziovii ","TropicalDry","W","E",1.6,80.4,-1.18,58.48856511,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","L",NA,"Mikania","","Angiosperm"
"219","Mimosa bahamensis","TropicalDry","W","DD",2.901,84.23333333,-2.701333333,80.4311107536395,5.735666667,1,0,NA,461.326040939435,388.590301802607,72.7357391368286,7.86584956888,-477.398655564181,1,1,"Contributed","T","Fabaceae","Mimosa","bahamensis","Angiosperm"
"220","Morus alba","Temperate","W","CD",1.200581,96.871885,-1.039086,65.868433,2.252083,0,0,0.767101,148.341178195939,143.700895549615,4.6402826463239,3.8650308861492,-215.911442386455,1,1,"Contributed","T","Moraceae","Morus","alba","Angiosperm"
"221","Myristica yunnanensis","TropicalDry","W","E",1.507512,NA,-0.946165067,69.807027015,2.495061127,0,1,NA,180.523078562443,NA,NA,NA,NA,2,1,"Contributed","T","Myristicaceae","Myristica","yunnanensis","Angiosperm"
"222","Neomillspaughia emarginata","TropicalDry","W","DD",1.641,92.57,-1.338333333,NA,1.483333333,1,0,NA,NA,NA,NA,6.17380642452824,-135.82883330281,1,1,"Contributed","T","Polygonaceae","Neomillspaughia","emarginata","Angiosperm"
"223","Neomirandea croatii","TropicalMoist","W",NA,1.1350071345,88.613603765,-1.025673206,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,1,"Contributed","S",NA,"Neomirandea","croatii","Angiosperm"
"224","Neomirandea eximia","TropicalMoist","W",NA,0.927901374666667,93.22188308,-0.867896425666667,NA,NA,1,1,NA,NA,NA,NA,NA,NA,3,1,"Contributed","S","Asteraceae","Neomirandea","eximia","Angiosperm"
"225","Nephelium chryseum","TropicalDry","W","E",1.47562065,86.36325526,-1.057327958,59.09887894,1.581748121,0,0,NA,93.1303124287935,89.2499412373288,14.09255201242,12.1747669027084,-153.466673470691,2,1,"Contributed","T","Sapindaceae","Nephelium","chryseum","Angiosperm"
"226","Nephrolepis exaltata","Temperate","F","E",1.33273,94.268299,-0.999185,32.793527,3.445797,0,0,0.764595,112.999836956019,106.523024171212,6.4768127848065,4.85980865201991,-321.383624889303,1,1,"Contributed",NA,"Nephrolepidaceae","Nephrolepis","exaltata","Angiosperm"
"227","Nerium oleander","Med/TempDry","W","E",0.783987,95.276856,-0.59897,141.151079,2.154721,0,0,0.793045,304.141194093959,289.776167533582,14.3650265603772,18.3230417856128,-203.140321437176,1,1,"Contributed","S","Apocynaceae","Nerium","oleander","Angiosperm"
"228","Notopleura guadalupensis","TropicalMoist","W",NA,0.9057389515,89.08010148,-0.8121008045,70.5000000005992,NA,1,1,NA,NA,NA,NA,NA,NA,2,1,"Contributed","S","Rubiaceae","Notopleura","guadalupensis","Angiosperm"
"229","Notopleura maxonii","TropicalMoist","W",NA,0.957158206,88.9887947,-0.845379919,NA,NA,1,1,NA,NA,NA,NA,52.2533912867686,NA,1,1,"Contributed","S",NA,"Notopleura","maxonii","Angiosperm"
"230","Notopleura pithecobia","TropicalMoist","W",NA,0.9698957295,89.98268621,-0.863369226,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,1,"Contributed","S",NA,"Notopleura","pithecobia","Angiosperm"
"231","Olea europaea","Med/TempDry","W","E",2.368076,87.7706795,-1.7906985,162.1740215,1.225268,0,0,0.4619655,193.207768408881,169.445288875114,23.7624795337673,10.0236619670812,-106.523614602135,2,1,"Contributed","T","Oleaceae","Olea","europaea","Angiosperm"
"232","Oreopanax anomalus","TropicalMoist","W",NA,0.894409075,97.3584844,-0.755914615,NA,NA,1,1,NA,NA,NA,NA,13.840399520267,NA,1,1,"Contributed","S",NA,"Oreopanax","anomalus","Angiosperm"
"233","Oreopanax vestitus","TropicalMoist","W",NA,0.803859027,93.82992901,-0.715199656333333,NA,NA,1,1,NA,NA,NA,NA,11.6975788504429,NA,3,1,"Contributed","S",NA,"Oreopanax","vestitus","Angiosperm"
"234","Oryza sativa","Crop","H","",1.41,89.2,-1.19,51.1379332543958,2.68958948198216,1,1,NA,137.540047411329,122.685722290905,14.8543251204235,10.5349823549103,-237.221792310827,1,1,"mb12",NA,"Poaceae","Oryza","sativa","Angiosperm"
"235","Oryza sativa","Crop","H","H",1.545,88.183333335,-1.105,51.1379332543958,2.68958948198216,1,1,NA,137.540047411329,121.287398477849,16.2526489334797,10.517535194539,-234.487376341961,2,1,"mb14",NA,"Poaceae","Oryza","sativa","Angiosperm"
"236","Osmunda regalis","Temperate","F","E",1.538573,92.489472,-1.367179,56.438505,2.082131,0,0,0.263237,117.512360854155,108.686562088743,8.82579876541234,5.7363535986998,-190.493065824832,1,1,"Contributed",NA,"Osmundaceae","Osmunda","regalis","Angiosperm"
"237","Oxandra espintana","TropicalDry","W","E",2.0744,96.338,-1.7604,NA,4.5786,1,0,NA,NA,NA,NA,14.230925428192,-436.5145668,1,1,"Contributed","T","Annonaceae","Oxandra","espintana","Angiosperm"
"238","Pachira quinata","TropicalDry","W","DD",1.0384,87.554,-0.7338,59.9349848003449,0.9722,1,0,NA,58.2687922228953,51.0166583428338,7.25213388006155,25.230500525568,-84.1477988,1,1,"Contributed","T","Malvaceae","Pachira","quinata","Angiosperm"
"239","Parashorea chinensis","TropicalDry","W","E",1.810082667,NA,-1.115633011,43.09810176,1.522454127,0,0,NA,65.614882890378,NA,NA,NA,NA,1,1,"Contributed","T","Dipterocarpaceae","Parashorea","chinensis","Angiosperm"
"240","Pascopyrum smithii","Grassland","H","A",2.301797988,88.53821908,-1.7885370795,117.3199457,1.717766198,0,0,NA,200.743589561843,178.178752046453,22.5648375153902,9.90301153630882,-150.255077085329,2,1,"Contributed","H","Poaceae","Pascopyrum","smithii","Angiosperm"
"241","Paullinia cururu","TropicalDry","W","DD",2.75,90.7633333333333,-2.28,71.68318828,1.35666666666667,0,0,NA,96.8288110100667,87.9055493521122,8.92326165795451,3.2549124238001,-121.7633,3,1,"Contributed","L","Sapindaceae","Paullinia","cururu","Angiosperm"
"242","Paullinia pinnata","TropicalDry","W","DD",1.9316,89.59991,-1.6837,58.0585478754518,1.54224,1,0,NA,92.3171689509471,82.2454808724579,10.0716880784892,5.06133313912648,-135.941625358,10,1,"Contributed","L","Sapindaceae","Paullinia","pinnata","Angiosperm"
"243","Pennisetum glaucum","Crop","H","H",1.535,76.25,-1.07,32.080056803641,3.60749589659136,1,1,NA,115.728673281553,88.2431133771838,27.4855599043687,18.0438765200585,-271.4640662185,4,1,"mb14",NA,"Poaceae","Pennisetum","glaucum","Angiosperm"
"244","Penstemon albidus","Grassland","H","A",1.741666667,79.055,-1.385,103.174478,2.328333333,0,0,NA,240.224576242275,189.909538748331,50.3150374939445,28.8890167374056,-181.738058307315,1,1,"Contributed","H","Plantaginaceae","Penstemon","albidus","Angiosperm"
"245","Petrea volubilis","TropicalDry","W","DD",1.76,84.01,-1.42333333333333,102.970872893333,1.10666666666667,0,0,NA,113.445125682,95.1102923880042,18.3348332939958,11.215214902341,-91.7618666666667,3,1,"Contributed","L","Verbenaceae","Petrea","volubilis","Angiosperm"
"246","Phaseolu vulgaris","Crop","H","A",0.79,84,-0.68,42.8,6.14,0,0,NA,262.792,220.74528,42.04672,53.2236962025316,-509.62,1,1,"Contributed","H",NA,"Phaseolu","vulgaris","Angiosperm"
"247","Phaseolus vulgaris","Crop","H","H",1.14882571428571,74.488755,-0.916923857142857,38.0956222844424,4.32369891274209,1,1,0.692063,141.397357739936,105.037455436732,36.3599023032038,33.441117272451,-334.758946457769,7,2,"Contributed","H","Fabaceae","Phaseolus","vulgaris","Angiosperm"
"248","Phellodendron amurense","Temperate","W",NA,1.3,92.68,-1.11,114,1.76,0,0,NA,200.64,185.953152,14.686848,11.2975753846154,-161.3568,1,1,"Contributed","T","Rutaceae","Phellodendron","amurense","Angiosperm"
"249","Phlebodium aureum","TropicalDry","F","E",1.672347,93.094701,-1.469701,69.341787,2.467942,0,0,0.361574,171.131508492354,159.314366147747,11.8171423446074,7.06620237582717,-227.284380575342,1,1,"Contributed",NA,"Polypodiaceae","Phlebodium","aureum","Angiosperm"
"250","Phoebe lanceolata","TropicalDry","W","E",1.9193,NA,-1.199465449,65.53684955,1.190323834,0,0,NA,78.0100740246372,NA,NA,NA,NA,1,1,"Contributed","T","Lauraceae","Phoebe","lanceolata","Angiosperm"
"251","Phytolacca dioica","TropicalDry","W","E",1.501812,92.966689,-1.285462,87.887853,2.815536,0,0,0.479294,247.451414084208,230.047386557768,17.4040275264402,11.5886858850776,-258.935523680304,1,1,"Contributed","T","Phytolaccaceae","Phytolacca","dioica","Angiosperm"
"252","Picea mariana","TemperateConifer","W","E",2.17,74.6,-1.61,338.7,3.50305334370931,0,1,NA,1186.48416751434,885.1171889657,NA,NA,-257.824726097005,1,1,"mb12",NA,"Pinaceae","Picea","mariana","Gymnosperm"
"253","Pictetia aculeata","TropicalDry","W","DD",1.8426,86.342,-1.4414,104.004370547832,2.8712,1,0,NA,298.617348716935,257.832191229176,40.785157487759,19.00932711984,-245.0339504,1,1,"Contributed","T","Fabaceae","Pictetia","aculeata","Angiosperm"
"254","Pinus albicaulis","TemperateConifer","W","E",2.97977777777778,84.1962,-2.184,260.907233077179,1.74711470588235,1,1,NA,514.500553645531,431.404978124861,82.6417971234441,32.6670945888653,-145.078701502121,90,1,"Contributed","T","Pinaceae","Pinus","albicaulis","Gymnosperm"
"255","Pinus cembra","TemperateConifer","W","E",2.34,87.4,-1.74,241.251377226449,1.31744192347463,1,1,NA,317.834678454117,277.787508968898,40.0471694852187,17.1141749936832,-113.826982188208,1,1,"mb12",NA,"Pinaceae","Pinus","cembra","Gymnosperm"
"256","Pinus flexilis","TemperateConifer","W","E",3.203,86.5289666666667,-2.468,198.87730830825,2.32308333333333,1,1,NA,499.430001086442,434.618422601499,64.8115784849431,27.9686853727664,-201.658497681667,10,1,"Contributed","T","Pinaceae","Pinus","flexilis","Gymnosperm"
"257","Pinus longaeva","TemperateConifer","W","E",3.30125,79.9853333333333,-2.551875,319.20292,1.53706666666667,1,1,NA,486.124533846,389.128385499815,96.9961483461855,35.4442213239828,-120.368915946667,16,1,"Contributed","T","Pinaceae","Pinus","longaeva","Gymnosperm"
"258","Pinus ponderosa","TemperateConifer","W","E",2.655,78.1,-1.95,212.321230950049,1.0794329958695,1,1,NA,229.186542411111,178.994689623078,50.1918527880334,18.9291107250659,-83.2242839815384,2,1,"mb14",NA,"Pinaceae","Pinus","ponderosa","Gymnosperm"
"259","Pinus sabiniana","Med/TempDry","W","E",1.929,89.6,-1.297,127.226463104326,1.208,1,0,0.6765,153.689567430025,137.669211195929,16.0203562340967,19.0248910253718,-107,2,1,"Contributed","T","Pinaceae","Pinus","sabiniana","Gymnosperm"
"260","Pinus tabulaeformis","TemperateConifer","W","E",2.468,80.9,-1.49,188.507870465932,1.30643160334555,1,1,NA,246.272639456063,199.234565319955,47.0380741361081,18.7012960330776,-104.383885107309,2,1,"mb14",NA,"Pinaceae","Pinus","tabulaeformis","Gymnosperm"
"261","Piscidia pscipula","TropicalDry","W","DD",1.7692,90.722,-1.625,NA,0.6618,1,0,NA,NA,NA,NA,19.668751222848,-59.3780196,1,1,"Contributed","T",NA,"Piscidia","pscipula","Angiosperm"
"262","Pisonia aculeata","TropicalDry","W","DD",1.7078,91.914,-1.3628,51.4362201414671,6.0638,1,0,NA,311.898951693828,286.678802459865,25.220149233963,14.864512016624,-551.2843132,1,1,"Contributed","T","Nyctaginaceae","Pisonia","aculeata","Angiosperm"
"263","Pisonia albida","TropicalDry","W","DD",2.1376,86.62,-1.8632,101.000000000101,3.5466,1,0,NA,358.206600000358,310.27855692031,47.9280430800479,16.805636818288,-303.659892,1,1,"Contributed","T","Nyctaginaceae","Pisonia","albida","Angiosperm"
"264","Pithecellobium unguis-cati","TropicalDry","W","DD",3.1205,77.6525,-2.21325,89.9698245711376,5.40025,1,0,NA,485.859545140286,377.28208329006,108.577461850225,11.56590884404,-413.942663125,1,1,"Contributed","T","Fabaceae","Pithecellobium","unguis-cati","Angiosperm"
"265","Pittosporopsis kerrii","TropicalDry","W","E",1.840034667,NA,-1.132381406,74.47259466,2.09200871,0,0,NA,155.79731668502,NA,NA,NA,NA,1,1,"Contributed","T","Metteniusaceae","Pittosporopsis","kerrii","Angiosperm"
"266","Pittosporum tobira","Temperate","W","E",1.367066,92.822748,-0.928788,110.125583,1.828973,0,0,0.770833,201.416717916259,186.96053250128,14.456185414979,10.5746067965841,-167.941326877804,1,1,"Contributed","S","Pittosporaceae","Pittosporum","tobira","Angiosperm"
"267","Plantago patagonica","Grassland","H","A",1.682,82.224,-1.282,89.94073654,3.008,0,0,NA,270.54173551232,222.45023660765,48.09149890467,28.5918542833948,-244.321792,1,1,"Contributed","H","Plantaginaceae","Plantago","patagonica","Angiosperm"
"268","Pleroma hospita","TropicalDry","W","E",2.3,76.24,-1.67,118.3240787,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","S",NA,"Pleroma","hospita","Angiosperm"
"269","Pleurothallis dolichopus","TropicalMoist","W",NA,0.345734833,95.40929388,-0.319191756,NA,NA,1,1,NA,NA,NA,NA,141.61634188118,NA,1,1,"Contributed","L","Orchidaceae","Pleurothallis","dolichopus","Angiosperm"
"270","Poa secunda","Grassland","H","A",2.135,81.94,-1.4525,67.66720122,2.0475,0,0,NA,138.54859449795,113.52671833162,25.0218761663298,11.7198483214659,-165.72465,1,1,"Contributed","H","Poaceae","Poa","secunda","Angiosperm"
"271","Polyalthia tomentosa","TropicalDry","W","E",NA,NA,NA,38.93927082,NA,0,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","T",NA,"Polyalthia","tomentosa","Angiosperm"
"272","Polypodium scouleri","TemperateConifer","F","E",2.185546,93.576,-2.02,113.764,2.324,0,0,0.137,264.387536,247.40328068736,16.98425531264,7.77117265554695,-215.146624,1,1,"Contributed","S","Polypodiaceae","Polypodium","scouleri","Angiosperm"
"273","Polystichum munitum","TemperateConifer","F","E",2.204887,95.804,-2.035,58.036,1.777,0,0,0.455,103.129972,98.80263837488,4.32733362512,1.96261015876097,-168.466708,1,1,"Contributed","S","Dryopteridaceae","Polystichum","munitum","Angiosperm"
"274","Pometia tomentosa","TropicalDry","W","E",2.035416,NA,-1.242020834,46.76720434,1.274375485,0,0,NA,59.5989787128816,NA,NA,NA,NA,1,1,"Contributed","T",NA,"Pometia","tomentosa","Angiosperm"
"275","Populus nigra","Temperate","W","CD",1.817537,92.700656,-1.199541,105.17935,1.58982,0,0,0.779873,167.216234217,155.010546057655,12.2056881593445,6.71551014331182,-145.78753692192,1,1,"Contributed","T","Salicaceae","Populus","nigra","Angiosperm"
"276","Pouteria caimito","TropicalDry","W","E",1.4692,92.078,-1.1218,85.024838147456,3.0482,1,0,NA,259.172711641075,238.641049424869,20.531662216206,11.887876126672,-277.6239596,1,1,"Contributed","T","Sapotaceae","Pouteria","caimito","Angiosperm"
"277","Prunus persica","Crop","W","E",2.81,70,-1.46,59.1208606737874,1.70031310092819,1,1,NA,100.523973941791,70.3667817592536,30.1571921825373,10.7485989970691,-117.321603964045,2,1,"mb14",NA,"Rosaceae","Prunus","persica","Angiosperm"
"278","Prunus serotina","Temperate","W","CD",1.42,90,-1.14,35.9,2.15593092750656,0,1,NA,77.3979202974855,69.6581282677369,7.73979202974856,5.45055776742856,-191.877852548084,1,1,"mb12",NA,"Rosaceae","Prunus","serotina","Angiosperm"
"279","Pseuduvaria indochinensis","TropicalDry","W","E",2.017666667,NA,-1.231921483,54.81200225,1.971739092,0,0,NA,108.074967547117,NA,NA,NA,NA,1,1,"Contributed","T","Annonaceae","Pseuduvaria","indochinensis","Angiosperm"
"280","Psidium cattleianum","TropicalDry","W","E",1.946062498,87.07599,-1.716842306,110.6774581,2.571153391,0,0,NA,284.568721701075,247.791031651556,36.7776900495192,18.8985143526049,-221.314573572182,1,1,"Contributed","S","Myrtaceae","Psidium","cattleianum","Angiosperm"
"281","Pterospermum menglunense","TropicalDry","W","E",1.8329912335,83.542,-1.284711596,59.49166071,1.7939589125,0,0,0.19898623,104.743997544282,104.527013804561,20.5921044887058,11.3304061553119,-186.847310470908,2,1,"Contributed","T","Malvaceae","Pterospermum","menglunense","Angiosperm"
"282","Quercus alba","Temperate","W","CD",2.35,66,-1.55,63.8093730972238,2.32701779234115,1,1,NA,148.485546515374,98.0004607001472,50.4850858152273,21.8246544558673,-151.256156502175,2,1,"mb14",NA,"Fagaceae","Quercus","alba","Angiosperm"
"283","Quercus douglasii","Med/TempDry","W","DD",3.26866666666667,81.4833333333333,-2.445,138.913333333333,0.947,0,0,0.3158,131.095833333333,106.616652466667,24.4791808666667,7.90941643789713,-75.9915666666667,6,1,"Contributed","T","Fagaceae","Quercus","douglasii","Angiosperm"
"284","Quercus ellipsoidalis","Temperate","W","CD",1.355,94.9,-1.015,53.8735615293284,1.51951478758751,1,1,NA,81.86167340382,77.6867280602252,4.17494534359483,3.81352903615107,-142.682438554467,2,1,"mb14",NA,"Fagaceae","Quercus","ellipsoidalis","Angiosperm"
"285","Quercus garryana","Med/TempDry","W","CD",3.60823041666667,84.48347,-2.93442708333333,116.9972,1.15899458333333,0,0,0.180375130434783,132.241229042595,111.505075749113,20.736153293482,5.65271930677654,-97.004373033445,24,1,"Contributed","T","Fagaceae","Quercus","garryana","Angiosperm"
"286","Quercus ilex","Med/TempDry","W","E",2.3815645,89.939925,-1.830638,162.594817,0.918543,0,0,0.550558,147.6832349846,132.822962054626,14.8602729299743,6.17968856256776,-81.888395155754,2,1,"Contributed","T","Fagaceae","Quercus","ilex","Angiosperm"
"287","Quercus lobata","Med/TempDry","W","DD",3.33683333333333,82.8333333333333,-2.611,121.441,1.08016666666667,0,0,0.2688,130.988332666667,108.186895498,22.8014371686667,6.90788809788214,-88.04815,6,1,"Contributed","T","Fagaceae","Quercus","lobata","Angiosperm"
"288","Quercus macrocarpa","Temperate","W","CD",2.505,81.9,-2,55.7631281746551,1.79366098414188,1,1,NA,100.020147360582,81.9165006883164,18.1036466722653,7.21167597162755,-145.107173617078,2,1,"mb14",NA,"Fagaceae","Quercus","macrocarpa","Angiosperm"
"289","Quercus muehlenbergii","Temperate","W","CD",2.125,86.75,-1.89,54.1372366374397,2.16809986130063,1,1,NA,117.374935244832,101.822756324892,15.5521789199403,7.08462625354004,-185.914563106529,2,1,"mb14",NA,"Fagaceae","Quercus","muehlenbergii","Angiosperm"
"290","Quercus oleoides","TropicalDry","W","E",2.225,92.918,-1.65566666666667,133.653452134026,0.87,1,0,NA,116.278503356603,108.028305640307,8.25019771629578,6.40142949333333,-79.957172,3,1,"Contributed","T",NA,"Quercus","oleoides","Angiosperm"
"291","Quercus rubra","Temperate","W","CD",2.00375,76.1335,-1.3625,65.0688237465764,1.6318466376844,1,1,NA,106.182341248929,77.9080589684801,28.2742822804491,13.1840724210522,-118.099930398748,4,2,"Contributed","T","Fagaceae","Quercus","rubra","Angiosperm"
"292","Quercus serrata","Temperate","W","CD",1.97,92,-1.66,74.0634894082923,1.08129258389054,1,1,NA,80.084301834242,73.6775576875027,6.40674414673937,3.2521543892078,-98.3976251340391,1,1,"mb12",NA,"Fagaceae","Quercus","serrata","Angiosperm"
"293","Rehdera trinervis","TropicalDry","W","DD",2.324,91.3686666666667,-1.74666666666667,129.148559754597,1.192,1,0,NA,153.945083227479,140.473140204071,13.4719430234083,8.53323762666667,-107.576646333333,3,1,"Contributed","T","Verbenaceae","Rehdera","trinervis","Angiosperm"
"294","Robinia pseudoacacia","Other","W","CD",1.965,84.7,-1.43,46.1697509224537,1.98133154125923,1,1,NA,91.4775837547399,77.4815134402647,13.9960703144752,6.91600761888065,-165.837450003398,2,1,"mb14",NA,"Fabaceae","Robinia","pseudoacacia","Angiosperm"
"295","Rourea glabra","TropicalDry","W","E",2.15,88.66,-1.81666666666667,121.947897433333,1.00333333333333,0,0,NA,120.192940072333,106.46109490134,13.7318451709931,6.37850672164483,-87.6194,3,1,"Contributed","L",NA,"Rourea","glabra","Angiosperm"
"296","Salix arctica","Other","W","CD",1.475,81.75,-1.255,81,1.50072110245036,0,1,NA,121.558409298479,99.3739996015067,22.1844096969724,15.042503844913,-121.183229022867,2,1,"mb12",NA,"Salicaceae","Salix","arctica","Angiosperm"
"297","Samanea saman","TropicalDry","W","DD",1.9268,80.958,-1.5084,NA,0.5792,1,0,NA,NA,NA,NA,16.5077613696,-46.3116736,1,1,"Contributed","T","Fabaceae","Samanea","saman","Angiosperm"
"298","Sapium glandulosum","TropicalDry","W","E",1.50833333333333,84.9843333333333,-1.10166666666667,69.3222144318075,3.18633333333333,1,0,NA,220.883682584549,187.063989459347,33.8196931252024,22.2788962666667,-266.660772666667,3,1,"Contributed","T","Euphorbiaceae","Sapium","glandulosum","Angiosperm"
"299","Saprosma ternata","TropicalDry","W","E",1.3283702165,82.27224925,-0.9797359775,45.851328515,2.7591764925,0,0,NA,126.23639400042,98.1648147157726,21.1522279209007,16.9353428044109,-230.241282122713,2,1,"Contributed","T","Rubiaceae","Saprosma","ternata","Angiosperm"
"300","Satyria meiantha CF","TropicalMoist","W",NA,1.50239252,89.893378635,-1.410640641,NA,NA,1,1,NA,NA,NA,NA,NA,NA,2,1,"Contributed","S",NA,"Satyria","CF","Angiosperm"
"301","Satyria warszewiczii CF","TropicalMoist","W",NA,1.43835995,79.84457489,-1.051736352,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,1,"Contributed","S",NA,"Satyria","CF","Angiosperm"
"302","Schefflera rodriguesiana","TropicalMoist","W",NA,1.59080643733333,87.98201636,-1.40313595666667,77.9013545790407,2.65275337182501,1,1,NA,206.653081029286,181.81754755963,24.8355334696555,15.3936157731872,-230.741837187128,3,1,"Contributed","T","Araliaceae","Schefflera","rodriguesiana","Angiosperm"
"303","Securidaca diversifolia","TropicalDry","W","DD",1.80666666666667,84.0133333333333,-1.48666666666667,62.6495536266667,1.48,0,0,NA,89.2297900301,74.7463871310921,14.4834028990079,7.88277857543606,-123.269533333333,3,1,"Contributed","L","Polygalaceae","Securidaca","diversifolia","Angiosperm"
"304","Sequoiadendron giganteum","TemperateConifer","W","E",1.90911686363636,88.6912227272727,-1.42498368181818,546.8127495,1.37582772727273,0,0,0.557451181818182,751.012764337132,667.309289528152,83.7034748089803,44.065600940092,-120.89741921925,440,1,"Contributed","T","Cupressaceae","Sequoiadendron","giganteum","Gymnosperm"
"305","Serjania schiedeana","TropicalDry","W","DD",2.19333333333333,78.4233333333333,-1.76,47.9135143766667,2.31,0,0,NA,105.002188022433,81.5250738258553,23.4771141965781,10.3875039974983,-181.847966666667,3,1,"Contributed","L","Sapindaceae","Serjania","schiedeana","Angiosperm"
"306","Shorea wantianshuea","TropicalDry","W","E",1.5229306,70.057,-1.1220542,41.50356721,2.123744752,0,0,NA,88.1429830515168,61.7503296364011,26.3926534151157,17.3301747401462,-146.659441338864,1,1,"Contributed","T",NA,"Shorea","wantianshuea","Angiosperm"
"307","Sideroxylon capiri","TropicalDry","W","E",2.0932,91.978,-1.6454,102.853115176171,3.2132,1,0,NA,330.487629684073,303.975912030817,26.5117176532564,13.436747030784,-292.3305096,1,1,"Contributed","T","Sapotaceae","Sideroxylon","capiri","Angiosperm"
"308","Simarouba glauca","TropicalDry","W","E",1.887,86.315,-1.35233333333333,121.667970684857,1.50166666666667,1,0,NA,182.704735978427,157.903410011713,24.8013259667143,16.50199648,-128.280567,3,1,"Contributed","T","Simaroubaceae","Simarouba","glauca","Angiosperm"
"309","Sloanea tomentosa","TropicalDry","W","E",1.5060097,81.619,-1.0460804795,63.019989845,1.533265481,0,0,0.21158034,96.3930761244268,77.4968442352589,17.4526702592324,12.0086679403534,-116.543362113255,2,1,"Contributed","T","Elaeocarpaceae","Sloanea","tomentosa","Angiosperm"
"310","Solanum galapagense","Crop","H","E",1.06,89.3,-0.9,26.34,6.17,0,0,NA,162.5178,145.1283954,17.3894046,16.4050986792453,-544.811,1,1,"Contributed","H","Solanaceae","Solanum","galapagense","Angiosperm"
"311","Solanum habrochaites","Crop","H","E",0.99,85.3,-0.89,24.54,6.29,0,0,NA,154.3566,131.6661798,22.6904202,22.9196163636364,-530.247,1,1,"Contributed","H","Solanaceae","Solanum","habrochaites","Angiosperm"
"312","Solanum lycopersicum","Crop","H","A",0.8104,90.1101,-0.7048,27.65,7.5544,0,0,NA,208.87916,188.22121995516,20.65794004484,25.4910415163376,-673.17333944,1,1,"Contributed","H","Solanaceae","Solanum","lycopersicum","Angiosperm"
"313","Solanum lycopersicum","Crop","H","E",0.895,90.4,-0.78,29.99,6.84,0,0,NA,204.7326,185.4187827,19.3138173,21.5344244317329,-612.693,2,1,"Contributed","H","Solanaceae","Solanum","lycopersicum","Angiosperm"
"314","Solanum lycopersicum","Crop","H","H",0.643093,90.826677,-0.472216,51.586939,5.683957,0,0,0.629388,293.217943037623,266.320114028826,26.8978290087971,41.825721954363,-510.570969520889,1,1,"Contributed","H","Solanaceae","Solanum","lycopersicum","Angiosperm"
"315","Solanum lycopersicum ","Crop","H","E",0.82,92.84,-0.73,22.31,7.73,0,0,NA,172.4563,160.10842892,12.34787108,15.0583793658537,-709.9232,1,1,"Contributed","H","Solanaceae","Solanum","","Angiosperm"
"316","Solanum pennellii","Crop","H","E",0.93,84.5,-0.81,24.23,5.97536208780243,0,1,NA,144.783023387453,122.341654762398,22.4413686250552,159.2550752,-498.942734331503,1,1,"Contributed","H","Solanaceae","Solanum","pennellii","Angiosperm"
