"","Species","Biome","Growth.Form","Ever.Decid","TLP","totRWCtlp","Po","LMA","SWC","Ref","LMA_imputed","SWC_imputed","Lat","Lon","Treatment","ApoFrac","sympRWCtlp","T.S.L.H","Wild.Garden","Life.Stage","Psi.PD","Psi.min","Rehydrated","Elev","SWA","LWAtlp","water_loss.m2","CFT.g.m2","Other.Notes","Dataset","RWCslope","water_loss.g","Family","Genus","Species_name","Gymno.Angio"
"1013","Eucalyptus miniata","Med/TempDry","W","E",-1.98,89,-1.81,160.250365793195,1.09331934753488,"Myers et al. 1997",1,1,"-12.5667",131.0833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175.204825371241,155.932294580405,19.2725307908366,9.73360140951341,NA,"mb14",-21.78,-96.2121025830694,"Myrtaceae","Eucalyptus","miniata","Angiosperm"
"1113","Eucalyptus rubida","Med/TempDry","W","E",-2.203,88.5,-1.871,152.135350267198,1.03341736089018,"Merchant et al. 2010",1,1,"-37.42",143.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,157.219312171231,139.139091271539,18.0802208996916,8.20709073976013,NA,"mb14",-25.3345,-90.424019077891,"Myrtaceae","Eucalyptus","rubida","Angiosperm"
"1213","Eucalyptus tetrodonta","Med/TempDry","W","E",-2.06,80,-1.83,196.832436348354,1.11263858512869,"Myers et al. 1997",1,1,"-12.5667",131.0833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219.003363486065,175.202690788852,43.800672697213,21.2624624743752,NA,"mb14",-41.2,-87.8984482251665,"Myrtaceae","Eucalyptus","tetrodonta","Angiosperm"
"1313","Hippophae rhamnoides","SemiDesert","W","CD",-1.4401,91.32,-1.2317,85.2749371187769,2.14859739353766,"Chai et al. 2000",1,1,"39.2",111.2666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183.221507627492,167.317880765426,15.9036268620663,11.0434184168227,NA,"mb14",-12.500068,-194.061316584321,"Elaeagnaceae","Hippophae","rhamnoides","Angiosperm"
"1413","Larix decidua","TemperateConifer","W","CD",-2.03,94,-1.34,93.8479176372355,1.64367776929032,"Badalotti et al. 2000",1,1,"46.55508302",12.14813232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154.255735914513,145.000391759642,9.25534415487078,4.55928283491172,NA,"mb14",-12.18,-152.862032544,"Pinaceae","Larix","decidua","Gymnosperm"
"1513","Liquidambar styraciflua","Temperate","W","CD",-2.08,81,-1.63,53.4185085807905,2.03030303030303,"Roberts & Knoerr 1977",1,1,"35.9",-79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108.455759845847,87.8491654751363,20.606594370711,9.90701652438028,NA,"mb14",-39.52,-162.424242424242,"Altingiaceae","Liquidambar","styraciflua","Angiosperm"
"1612","Liriodendron tulipifera","Temperate","W","CD",-2.08,73,-1.49,43.3083059759727,2.84325582076622,"Roberts & Knoerr 1977",1,1,"35.9",-79.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.136593053709,89.8897129292075,33.2468801245014,15.9840769829334,NA,"mb14",-56.16,-204.714419095168,"Magnoliaceae","Liriodendron","tulipifera","Angiosperm"
"1712","Miconia albicans","TropicalDry","W","E",-2.48,86.96,-1.77,191.077630064154,2.10379429541231,"Wenhui 1998",1,1,"-22.25",-43.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.988028109871,349.568789244344,52.4192388655273,21.136789865132,NA,"mb14",-32.3392,-180.842157633642,"Melastomataceae","Miconia","albicans","Angiosperm"
"1812","Pinus ponderosa","TemperateConifer","W","E",-2.61,76.8,-1.84,212.321230950049,1.0794329958695,"Jackson & Spomer 1989",1,1,"46.8",-116.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229.186542411111,176.015264571733,53.1712778393778,20.3721371032099,NA,"mb14",-60.552,-81.8210210869081,"Pinaceae","Pinus","ponderosa","Gymnosperm"
"1912","Pinus tabulaeformis","TemperateConifer","W","E",-1.915,86.7,-1.16,188.507870465932,1.30643160334555,"Li & Xu ",1,1,"See Notes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246.272639456063,213.518378408407,32.7542610476564,17.1040527664002,NA,"mb14",-25.4695,-111.961188406714,"Pinaceae","Pinus","tabulaeformis","Gymnosperm"
"2012","Quercus alba","Temperate","W","CD",-2.02,67,-1.6,63.8093730972238,2.32701779234115,"Parker et al. 1982",1,1,"38.8",-92.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148.485546515374,99.4853161653009,49.0002303500736,24.2575397772641,NA,"mb14",-66.66,-153.583174294516,"Fagaceae","Quercus","alba","Angiosperm"
"2112","Quercus ellipsoidalis","Temperate","W","CD",-0.99,92.1,-0.83,53.8735615293284,1.51951478758751,"Abrams 1988",1,1,"44.710281",-89.09582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.86167340382,75.3946012049182,6.46707219890179,6.53239616050686,NA,"mb14",-7.82100000000001,-138.427797149222,"Fagaceae","Quercus","ellipsoidalis","Angiosperm"
"2212","Quercus macrocarpa","Temperate","W","CD",-1.99,85.8,-1.6,55.7631281746551,1.79366098414188,"Abrams & Knapp 1986",1,1,"39.1",-96.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.020147360582,85.8172864353791,14.2028609252026,7.13711604281538,NA,"mb14",-28.258,-152.102451455231,"Fagaceae","Quercus","macrocarpa","Angiosperm"
"2312","Quercus muehlenbergii","Temperate","W","CD",-1.89,92,-1.69,54.1372366374397,2.16809986130063,"Abrams & Knapp 1986",1,1,"39.1",-96.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117.374935244832,107.984940425246,9.38999481958659,4.96825122729449,NA,"mb14",-15.12,-197.297087378357,"Fagaceae","Quercus","muehlenbergii","Angiosperm"
"2412","Quercus rubra","Temperate","W","CD",-1.88,63,-1.33,65.0688237465764,1.95069327536879,"Parker et al. 1982",1,1,"38.8",-92.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.929316918604,79.9654696587203,46.9638472598833,24.9807698190869,NA,"mb14",-69.56,-120.942983072865,"Fagaceae","Quercus","rubra","Angiosperm"
"2511","Robinia pseudoacacia","SemiDesert","W","CD",-1.81,91.5,-1.35,46.1697509224537,1.98133154125923,"Chai et al. 2000",1,1,"39.2",111.2666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.4775837547399,83.701989135587,7.7755946191529,4.29590862936624,NA,"mb14",-15.385,-179.31050448396,"Fabaceae","Robinia","pseudoacacia","Angiosperm"
"2611","Thuja plicata","TemperateConifer","W","E",-1.85,85.6,-1.39,76.7066422151928,2.68324125230203,"Jackson & Spomer 1989",1,1,"46.8",-116.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205.822426717378,176.183997270075,29.6384294473024,16.0207726742175,NA,"mb14",-26.64,-227.002209944752,"Cupressaceae","Thuja","plicata","Gymnosperm"
"2711","Xanthostemon paradoxus","Med/TempDry","W","CD",-1.69,83,-1.39,127.002123716698,1.53087973965956,"Myers et al. 1997",1,1,"-12.5667",131.0833,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,194.42497809163,161.372731816053,33.0522462755771,19.5575421748977,NA,"mb14",-28.73,-125.532138652084,NA,"Xanthostemon","paradoxus","Angiosperm"
"2811","Abies balsamea","TemperateConifer","W","E",-1.71,90.1,-1.37,86.938936617188,0.820830298616169,"Pothier & Margolis 1990",1,1,"47.3",-71.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3621133048586,64.2972640876776,7.06484921718101,4.13149077028129,NA,"mb14",-16.929,-73.1359796067006,"Pinaceae","Abies","balsamea","Gymnosperm"
"2911","Abies grandis","TemperateConifer","W","E",-2.46,91,-2.18,100.96568107667,1.89435600578871,"Jackson & Spomer 1989",1,1,"46.8",-116.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,191.264944326137,174.051099336784,17.2138449893523,6.99749796315135,NA,"mb14",-22.14,-170.492040520984,"Pinaceae","Abies","grandis","Gymnosperm"
"3011","Acer rubrum","Temperate","W","CD",-1.97,90.8,-1.85,49.2267485520678,2.23408443969605,"Abrams 1988",1,1,"44.710281",-89.09582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.976712957005,99.8588553649602,10.1178575920444,5.13596832083473,NA,"mb14",-18.124,-200.620782684705,"Sapindaceae","Acer","rubrum","Angiosperm"
"3111","Betula papyrifera","Temperate","W","CD",-1.69,85.9,-1.6,54.4337757781983,1.31155051067075,"Pothier & Margolis 1990",1,1,"47.3",-71.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.3926464196331,61.3262832744648,10.0663631451683,5.95642789654926,NA,"mb14",-23.829,-111.350638355947,"Betulaceae","Betula","papyrifera","Angiosperm"
"3211","Carpinus viminea","TropicalDry","W","CD",-2.75,78.6,-2.07,58.0795262257713,1.54550082728777,"Singh et al. 2006",1,1,"29.38333333",79.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.7619558304112,70.5528972827032,19.209058547708,6.98511219916655,NA,"mb14",-58.85,-119.930864197531,"Betulaceae","Carpinus","viminea","Angiosperm"
