Contributor,Species,Treatment,Co-author?,Biomes,Growth_form,Tree/Shrub/Liana,Evergreen_Deciduous,Wild/Garden/Potted,Life Stage,πtlp (MPa),πtlp SD,πtlp SE,total RWCtlp (%),tot RWCtlp SD,tot RWCtlp SE,LMA (g/m2),SWC,CFT* (mol m-2 MPa-1),πo (MPa),ε (MPa),af,RWCtlp (%),Ψpd (MPa),Ψmin (MPa),Latitude,Longitude,Elevation (m),Site Name,Rehydrated?,Month Collected,Year Collected,Other Env Notes,Methods notes,Reference,Other Notes,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 83.8",Y,TemperateConifer,W,T,E,Wild,Ad,-2.15913,,,88.182,,,632.57062,1.35957,2.61532,-1.72082,14.36226,0.42911,79.3,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 83.7",Y,TemperateConifer,W,T,E,Wild,Ad,-2.63294,,,85.023,,,616.82636,1.1117,2.16633,-2.13718,14.1294,0.22984,80.554,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 79.5",Y,TemperateConifer,W,T,E,Wild,Ad,-2.25071,,,85.029,,,578.46163,1.12855,2.41367,-1.63251,10.55816,0.4727,71.609,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 76.4",Y,TemperateConifer,W,T,E,Wild,Ad,-2.28893,,,83.737,,,561.57096,1.28837,2.85938,-1.77337,10.73605,0.29894,76.802,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 73",Y,TemperateConifer,W,T,E,Wild,Ad,-1.55819,,,90.182,,,542.71895,1.33015,2.52567,-1.08211,10.70466,0.69805,67.485,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 71.5",Y,TemperateConifer,W,T,E,Wild,Ad,-1.82683,,,91.592,,,594.06639,1.28419,1.95116,-1.44038,16.74287,0.60835,78.532,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 67.2",Y,TemperateConifer,W,T,E,Wild,Ad,-2.23991,,,85.536,,,601.9569,1.22679,2.65195,-1.62138,10.90289,0.49313,71.465,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 64.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.88217,,,90.267,,,567.20586,1.29375,2.10829,-1.40002,14.02635,0.63229,73.532,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 62.7",Y,TemperateConifer,W,T,E,Wild,Ad,-1.59045,,,90.818,,,579.18001,1.28241,2.38119,-1.12138,11.91417,0.70584,68.786,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 61.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.47602,,,91.553,,,599.30497,1.37127,2.61508,-1.11439,12.81832,0.66166,75.034,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 58",Y,TemperateConifer,W,T,E,Wild,Ad,-2.26013,,,85.613,,,519.43107,1.31077,2.41211,-1.78386,12.20588,0.33188,78.466,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 54.6",Y,TemperateConifer,W,T,E,Wild,Ad,-1.66345,,,89.197,,,573.89291,1.29808,2.69398,-1.24584,11.34988,0.585,73.968,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 51.4",Y,TemperateConifer,W,T,E,Wild,Ad,-1.52745,,,89.598,,,558.36215,1.37178,2.89866,-1.20358,11.4663,0.5276,77.981,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 50.1",Y,TemperateConifer,W,T,E,Wild,Ad,-1.68349,,,89.665,,,546.12087,1.40222,2.61411,-1.29037,12.33501,0.57341,75.772,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 46.8",Y,TemperateConifer,W,T,E,Wild,Ad,-1.71431,,,89.375,,,556.33999,1.39771,2.68098,-1.36803,12.73807,0.48284,79.455,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 43.5",Y,TemperateConifer,W,T,E,Wild,Ad,-1.23915,,,92.454,,,532.797,1.3831,2.49333,-0.96451,12.59282,0.66776,77.287,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 42.3",Y,TemperateConifer,W,T,E,Wild,Ad,-2.32635,,,85.408,,,506.78795,1.27299,2.24855,-1.87794,12.73397,0.26306,80.199,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 40",Y,TemperateConifer,W,T,E,Wild,Ad,-1.5778,,,90.957,,,585.84107,1.71753,3.20506,-1.18236,12.84066,0.65111,74.08,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 36.6",Y,TemperateConifer,W,T,E,Wild,Ad,-1.18323,,,92.619,,,535.84154,1.42032,2.63541,-0.88164,11.77782,0.7294,72.726,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 35.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.22309,,,91.218,,,495.43958,1.31457,2.59606,-0.77689,8.1832,0.76186,63.121,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 34.9",Y,TemperateConifer,W,T,E,Wild,Ad,-1.50721,,,89.267,,,523.70353,1.32133,2.74225,-1.08678,9.83994,0.62653,71.262,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 34.7",Y,TemperateConifer,W,T,E,Wild,Ad,-1.18278,,,91.282,,,563.07475,1.38907,3.20492,-0.77724,8.48417,0.75587,64.288,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 34.4",Y,TemperateConifer,W,T,E,Wild,Ad,-1.60667,,,90.982,,,519.90493,1.36457,2.21051,-1.28547,14.155,0.57118,78.971,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 33.3",Y,TemperateConifer,W,T,E,Wild,Ad,-1.5185,,,90.869,,,571.08374,1.4439,2.75448,-1.10639,11.82219,0.67153,72.202,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 33.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.09366,,,93.619,,,518.68311,1.6131,2.71202,-0.89095,13.80264,0.65701,81.395,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 695, Height: 31.6",Y,TemperateConifer,W,T,E,Wild,Ad,-1.65182,,,91.09,,,571.69687,1.31294,2.24775,-1.26717,14.00617,0.62914,75.976,,,36.14240,-118.51990,1861,Freeman Creek Grove,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 83.9",Y,TemperateConifer,W,T,E,Wild,Ad,-2.49902,,,85.295,,,644.3439,1.2908,2.71964,-1.89425,12.53714,0.40568,75.258,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 83.5",Y,TemperateConifer,W,T,E,Wild,Ad,-2.67602,,,83.537,,,521.2498,1.31088,2.33601,-2.11952,12.70336,0.23565,78.462,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 83.1",Y,TemperateConifer,W,T,E,Wild,Ad,-2.59895,,,85.514,,,561.16735,1.24608,2.16492,-2.02807,13.78947,0.36354,77.24,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 82.9",Y,TemperateConifer,W,T,E,Wild,Ad,-2.3597,,,88.394,,,593.69997,1.29732,2.10431,-1.83552,15.52646,0.48994,77.246,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 82.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.56966,,,86.048,,,601.9569,1.45572,2.64349,-2.04842,14.53439,0.32849,79.223,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 82.3",Y,TemperateConifer,W,T,E,Wild,Ad,-2.66383,,,86.046,,,617.77509,1.25171,2.25129,-2.12099,15.02701,0.33833,78.911,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 15.7",Y,TemperateConifer,W,T,E,Wild,Ad,-1.52035,,,90.987,,,531.24955,1.4555,2.54559,-1.12196,12.22099,0.66901,72.769,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 15.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.61373,,,90.324,,,570.75256,1.49418,2.84056,-1.13916,11.33926,0.68331,69.447,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 15",Y,TemperateConifer,W,T,E,Wild,Ad,-1.7494,,,89.616,,,503.24027,1.7275,2.87155,-1.23858,11.60451,0.65826,69.613,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 14.9",Y,TemperateConifer,W,T,E,Wild,Ad,-1.65951,,,90.247,,,546.79166,1.75201,3.1278,-1.26799,12.7717,0.59655,75.827,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 14.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.65288,,,90.209,,,499.51603,1.70731,2.80909,-1.17909,11.81059,0.67779,69.612,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 14",Y,TemperateConifer,W,T,E,Wild,Ad,-1.21845,,,90.125,,,475.35361,1.41012,3.01589,-0.86832,8.50937,0.6657,70.46,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 14",Y,TemperateConifer,W,T,E,Wild,Ad,-1.5048,,,89.797,,,479.83503,1.42403,2.57261,-1.11301,10.61982,0.61517,73.487,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 2000, Height: 13.7",Y,TemperateConifer,W,T,E,Wild,Ad,-1.52438,,,91.002,,,522.91252,1.69861,2.91045,-1.07442,11.5867,0.70695,69.297,,,36.21314,-118.67260,1966,Mountain Home Demonstration State Forest,Y,September,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 86.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.34617,,,84.799,,,566.13496,1.14226,2.32815,-1.73749,11.12532,0.43186,73.244,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 84.8",Y,TemperateConifer,W,T,E,Wild,Ad,-2.28534,,,88.192,,,595.68463,1.4189,2.42728,-1.75246,14.61309,0.50836,75.982,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 83.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.18003,,,86.514,,,571.79097,1.33353,2.62017,-1.7238,12.6099,0.36987,78.599,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 81.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.23985,,,86.368,,,580.47349,1.46753,2.88205,-1.64807,11.76462,0.49555,72.976,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 79.5",Y,TemperateConifer,W,T,E,Wild,Ad,-2.23417,,,86.89,,,597.08697,1.26246,2.45624,-1.68418,12.64006,0.48995,74.296,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 76.9",Y,TemperateConifer,W,T,E,Wild,Ad,-2.16763,,,87.791,,,633.1459,1.2756,2.52597,-1.61668,12.92251,0.53635,73.667,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 73.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.18518,,,86.743,,,601.18154,1.24809,2.52908,-1.64985,12.16575,0.47264,74.862,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 71.6",Y,TemperateConifer,W,T,E,Wild,Ad,-2.04746,,,88.224,,,623.42175,1.55182,3.09032,-1.66482,14.01272,0.38358,80.897,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 69.2",Y,TemperateConifer,W,T,E,Wild,Ad,-2.00351,,,89.851,,,570.4681,1.36963,2.19744,-1.51984,14.64725,0.59505,74.936,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 68.2",Y,TemperateConifer,W,T,E,Wild,Ad,-1.80377,,,90.722,,,531.68457,1.54008,2.34006,-1.33777,14.08967,0.65052,73.452,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 64.3",Y,TemperateConifer,W,T,E,Wild,Ad,-2.03016,,,88.766,,,628.42113,1.65333,3.19386,-1.59639,14.04305,0.48771,78.072,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
Cameron B. Williams,Sequoiadendron giganteum,"Tree: 539, Height: 61",Y,TemperateConifer,W,T,E,Wild,Ad,-2.17303,,,88.909,,,624.56835,1.25029,2.21334,-1.70368,15.14198,0.50401,77.638,,,36.69181,-118.91009,1679,Sequoia & Kings Canyon National Park,Y,October,2012,dry season,,"Williams, C. B., Reese Næsborg, R., & Dawson, T. E. (2017). Coping with gravity: the foliar water relations of giant sequoia. Tree physiology, 37(10), 1312-1326.",Metadata and raw data files are provided.,,,,,,,,,,,,,
